gene_raw,gene_norm,n_matched_cols,matched_cols
OS01G0104100,os01t0104100,1,OS01T0104100-01
OS01G0124401,os01t0124401,1,OS01T0124401-01
OS01G0135700,os01t0135700,1,OS01T0135700-01
OS01G0159800,os01t0159800,1,OS01T0159800-01
OS01G0172200,os01t0172200,1,OS01T0172200-01
OS01G0184100,os01t0184100,1,OS01T0184100-01
OS01G0200700,os01t0200700,1,OS01T0200700-01
OS01G0279900,os01t0279900,1,OS01T0279900-01
OS01G0282800,os01t0282800,1,OS01T0282800-02
OS01G0292700,os01t0292700,1,OS01T0292700-00
OS01G0307500,os01t0307500,1,OS01T0307500-01
OS01G0343300,os01t0343300,1,OS01T0343300-01
OS01G0348900,os01t0348900,1,OS01T0348900-01
OS01G0506100,os01t0506100,1,OS01T0506100-02
OS01G0510100,os01t0510100,1,OS01T0510100-01
OS01G0534900,os01t0534900,1,OS01T0534900-01
OS01G0571300,os01t0571300,1,OS01T0571300-01
OS01G0575200,os01t0575200,1,OS01T0575200-01
OS01G0612600,os01t0612600,1,OS01T0612600-01
OS01G0624500,os01t0624500,1,OS01T0624500-01
OS01G0664100,os01t0664100,1,OS01T0664100-01
OS01G0692700,os01t0692700,1,OS01T0692700-01
OS01G0693400,os01t0693400,1,OS01T0693400-01
OS01G0699100,os01t0699100,1,OS01T0699100-01
OS01G0733200,os01t0733200,1,OS01T0733200-01
OS01G0750100,os01t0750100,1,OS01T0750100-01
OS01G0752500,os01t0752500,1,OS01T0752500-00
OS01G0797600,os01t0797600,1,OS01T0797600-01
OS01G0811300,os01t0811300,1,OS01T0811300-01
OS01G0837500,os01t0837500,1,OS01T0837500-01
OS01G0839100,os01t0839100,1,OS01T0839100-01
OS01G0839200,os01t0839200,1,OS01T0839200-01
OS01G0842200,os01t0842200,1,OS01T0842200-01
OS01G0847200,os01t0847200,1,OS01T0847200-02
OS01G0847600,os01t0847600,1,OS01T0847600-01
OS01G0848200,os01t0848200,1,OS01T0848200-02
OS01G0867300,os01t0867300,1,OS01T0867300-01
OS01G0897000,os01t0897000,1,OS01T0897000-01
OS01G0930400,os01t0930400,1,OS01T0930400-00
OS01G0955100,os01t0955100,1,OS01T0955100-01
OS01G0959100,os01t0959100,1,OS01T0959100-01
OS01G0959200,os01t0959200,1,OS01T0959200-01
OS01G0963600,os01t0963600,1,OS01T0963600-01
OS01G0971100,os01t0971100,1,OS01T0971100-01
OS02G0100300,os02t0100300,1,OS02T0100300-01
OS02G0122800,os02t0122800,1,OS02T0122800-02
OS02G0132300,os02t0132300,2,OS02T0132300-01;OS02T0132300-03
OS02G0140300,os02t0140300,1,OS02T0140300-01
OS02G0148100,os02t0148100,1,OS02T0148100-01
OS02G0184900,os02t0184900,1,OS02T0184900-01
OS02G0195600,os02t0195600,1,OS02T0195600-02
OS02G0234300,os02t0234300,1,OS02T0234300-01
OS02G0276500,os02t0276500,1,OS02T0276500-01
OS02G0542400,os02t0542400,1,OS02T0542400-01
OS02G0551100,os02t0551100,1,OS02T0551100-01
OS02G0553200,os02t0553200,1,OS02T0553200-01
OS02G0576700,os02t0576700,1,OS02T0576700-01
OS02G0579600,os02t0579600,1,OS02T0579600-00
OS02G0592300,os02t0592300,1,OS02T0592300-02
OS02G0601300,os02t0601300,1,OS02T0601300-01
OS02G0606700,os02t0606700,1,OS02T0606700-01
OS02G0654700,os02t0654700,1,OS02T0654700-01
OS02G0655200,os02t0655200,1,OS02T0655200-01
