OS01G0104100,OS01G0124401,OS01G0135700,OS01G0159800,OS01G0172200,OS01G0184100,OS01G0200700,OS01G0279900,OS01G0282800,OS01G0292700,OS01G0307500,OS01G0343300,OS01G0348900,OS01G0506100,OS01G0510100,OS01G0534900,OS01G0571300,OS01G0575200,OS01G0612600,OS01G0624500,OS01G0664100,OS01G0692700,OS01G0693400,OS01G0699100,OS01G0733200,OS01G0750100,OS01G0752500,OS01G0797600,OS01G0811300,OS01G0837500,OS01G0839100,OS01G0839200,OS01G0842200,OS01G0847200,OS01G0847600,OS01G0848200,OS01G0867300,OS01G0897000,OS01G0930400,OS01G0955100,OS01G0959100,OS01G0959200,OS01G0963600,OS01G0971100,OS02G0100300,OS02G0122800,OS02G0132300,OS02G0140300,OS02G0148100,OS02G0184900,OS02G0195600,OS02G0234300,OS02G0276500,OS02G0542400,OS02G0551100,OS02G0553200,OS02G0576700,OS02G0579600,OS02G0592300,OS02G0601300,OS02G0606700,OS02G0654700,OS02G0655200,OS02G0657000,OS02G0666200,OS02G0669100,OS02G0671100,OS02G0706400,OS02G0736400,OS02G0755000,OS02G0755900,OS02G0759800,OS02G0760300,OS02G0782700,OS02G0787300,OS02G0802700,OS02G0813500,OS03G0133000,OS03G0180800,OS03G0219200,OS03G0230300,OS03G0230500,OS03G0231600,OS03G0302000,OS03G0315400,OS03G0332400,OS03G0363900,OS03G0390200,OS03G0390700,OS03G0575200,OS03G0610900,OS03G0635100,OS03G0710800,OS03G0746500,OS03G0757500,OS03G0786400,OS03G0820300,OS03G0820400,OS03G0833200,OS03G0858100,OS04G0105100,OS04G0201500,OS04G0348400,OS04G0379700,OS04G0395800,OS04G0448100,OS04G0449400,OS04G0464200,OS04G0473400,OS04G0476800,OS04G0493000,OS04G0498600,OS04G0511200,OS04G0522500,OS04G0526800,OS04G0531400,OS04G0534600,OS04G0541700,OS04G0556300,OS04G0560600,OS04G0566100,OS04G0571200,OS04G0603200,OS04G0620700,OS04G0659100,OS04G0661200,OS04G0671700,OS04G0687300,OS05G0113500,OS05G0125000,OS05G0177500,OS05G0195200,OS05G0213500,OS05G0348100,OS05G0428700,OS05G0457200,OS05G0488800,OS05G0516600,OS05G0518600,OS05G0534400,OS05G0555100,OS05G0574500,OS06G0147800,OS06G0166500,OS06G0183100,OS06G0210500,OS06G0241100,OS06G0254700,OS06G0567200,OS06G0606000,OS06G0609500,OS06G0612800,OS06G0665500,OS06G0683400,OS06G0685700,OS06G0693700,OS06G0698785,OS07G0164100,OS07G0168800,OS07G0187200,OS07G0231400,OS07G0561300,OS07G0572800,OS07G0598300,OS07G0627300,OS07G0679000,OS07G0686800,OS07G0694000,OS08G0157600,OS08G0206400,OS08G0430500,OS08G0445700,OS08G0492500,OS08G0537900,OS08G0546800,OS08G0558200,OS09G0109800,OS09G0306400,OS09G0369000,OS09G0478600,OS09G0486500,OS09G0522000,OS09G0522200,OS09G0537700,OS09G0555500,OS09G0557700,OS09G0571200,OS10G0409400,OS10G0415300,OS10G0415900,OS10G0419400,OS10G0431000,OS10G0456800,OS10G0478900,OS10G0492800,OS10G0518200,OS10G0521000,OS10G0533600,OS10G0553300,OS10G0563600,OS10G0577700,OS10G0577800,OS10G0579100,OS11G0127600,OS11G0151400,Label
0.0,0.0,5.812,0.0,3.1699,0.0,12.8008,4.0,3.1699,0.0,0.0,6.0128,0.0,0.0,6.1471,2.3219,0.0,3.1699,6.4878,6.0128,4.2854,3.1699,2.3219,0.0,0.0,2.3219,0.0,5.4463,0.0,5.1699,0.0,0.0,4.7549,5.3576,0.0,2.3219,0.0,3.585,0.0,2.3219,0.0,0.0,9.9354,6.1471,5.7573,2.3219,2.3219,3.1699,6.189,0.0,0.0,4.9542,4.9542,0.0,5.4463,2.3219,5.4463,0.0,2.3219,6.7908,0.0,2.3219,0.0,2.3219,0.0,6.7631,3.1699,7.6505,3.1699,0.0,4.7549,3.585,9.5191,4.0,4.0,5.1699,0.0,0.0,0.0,7.3868,0.0,6.1037,4.5236,4.5236,0.0,5.6407,3.1699,3.585,4.2854,0.0,2.3219,0.0,8.032,0.0,0.0,5.812,0.0,0.0,2.3219,0.0,5.4463,3.1699,3.585,3.1699,0.0,0.0,3.1699,4.0,6.6771,4.7549,11.314,3.585,0.0,4.9542,3.585,4.0,6.7351,5.916,4.0,4.2854,0.0,0.0,4.2854,4.2854,7.6935,3.585,5.4463,4.2854,2.3219,4.7549,3.585,0.0,4.9542,8.7467,4.5236,2.3219,4.0,6.8962,5.3576,6.0128,2.3219,9.5557,0.0,0.0,0.0,4.0,0.0,4.5236,2.3219,3.585,3.1699,4.0,6.4878,5.812,5.7573,3.1699,0.0,4.7549,6.7064,3.1699,0.0,2.3219,2.3219,0.0,3.1699,2.3219,0.0,2.3219,0.0,0.0,0.0,3.1699,2.3219,0.0,0.0,8.1539,0.0,6.1037,5.5786,0.0,6.9704,0.0,2.3219,5.1699,4.0,2.3219,4.5236,0.0,0.0,0.0,0.0,2.3219,4.2854,5.5786,4.5236,6.5211,4.0,4.0,3.1699,7.274,5.812,6.7064,0.0,0.0,0.0,0
0.0,0.0,3.8074,0.0,2.0,2.8074,12.8506,4.2479,0.0,0.0,0.0,5.9158,0.0,2.8074,6.3268,3.8074,0.0,2.0,5.9741,6.3268,4.4919,4.2479,4.2479,2.0,2.0,0.0,2.0,5.0,0.0,5.0,0.0,0.0,4.7004,4.7004,2.0,2.8074,2.8074,2.0,2.0,0.0,2.8074,0.0,10.9572,6.5347,5.5062,2.0,2.8074,2.0,6.4552,0.0,2.8074,2.8074,5.0,0.0,4.858,2.8074,6.5347,0.0,2.0,7.2039,0.0,0.0,0.0,0.0,0.0,6.2346,0.0,7.1544,3.3219,0.0,5.5832,2.8074,10.0298,3.3219,0.0,4.7004,0.0,3.8074,0.0,7.4496,0.0,6.4954,5.1293,4.4919,0.0,5.9158,2.0,2.0,4.7004,4.7004,3.3219,0.0,7.9186,2.0,0.0,5.3388,2.0,2.8074,0.0,0.0,5.9158,2.8074,0.0,4.858,0.0,0.0,3.3219,4.7004,7.4079,3.8074,11.2502,2.8074,0.0,3.3219,2.0,4.2479,6.6817,5.9158,4.858,2.0,2.8074,0.0,3.8074,3.8074,2.8074,0.0,5.7918,3.8074,0.0,4.4919,4.2479,2.0,4.858,7.8267,3.8074,2.0,2.8074,6.4136,4.858,6.3709,2.8074,9.8076,2.8074,2.0,0.0,2.8074,0.0,0.0,2.8074,4.2479,3.3219,2.0,6.3709,6.0301,6.0301,4.7004,2.0,5.2475,6.7163,2.8074,0.0,2.8074,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,8.426,2.8074,5.5832,5.5062,2.0,7.129,0.0,2.8074,0.0,5.1293,0.0,2.8074,2.0,0.0,2.8074,2.8074,2.0,2.0,5.5832,4.2479,6.4954,3.8074,4.858,2.8074,7.5487,5.7255,7.0226,0.0,0.0,2.0,0
0.0,0.0,1.585,0.0,1.585,0.0,12.6197,4.9542,4.9542,1.585,0.0,6.3808,0.0,3.4594,5.935,4.0,3.4594,0.0,5.935,6.1504,4.0,5.2353,3.4594,1.585,0.0,3.4594,0.0,5.2353,0.0,4.9542,0.0,0.0,5.3576,4.0,0.0,0.0,0.0,3.4594,0.0,0.0,0.0,0.0,9.8645,6.5032,5.682,3.4594,3.17,0.0,6.293,0.0,0.0,5.5367,4.9542,0.0,4.2479,4.4594,5.7495,0.0,0.0,6.3808,0.0,0.0,0.0,0.0,0.0,6.4635,3.4594,7.9695,3.4594,0.0,5.5367,3.4594,9.7372,3.4594,4.0,4.4594,0.0,3.4594,0.0,6.7207,0.0,6.4227,5.5367,4.4594,1.585,5.1014,4.0,1.585,5.1014,4.0,3.4594,1.585,7.4662,0.0,0.0,5.4581,1.585,1.585,0.0,0.0,4.9542,4.2479,0.0,3.4594,0.0,0.0,3.4594,4.4594,6.4227,3.4594,11.3114,1.585,0.0,5.2353,3.4594,1.585,6.5032,6.1995,5.4581,4.0,0.0,0.0,4.2479,3.4594,4.0,1.585,5.4581,1.585,0.0,3.4594,4.0,0.0,3.4594,8.1922,4.4594,0.0,1.585,6.4635,3.4594,5.814,1.585,9.1499,4.0,0.0,0.0,3.4594,0.0,0.0,0.0,5.1014,0.0,4.2479,6.0468,5.7495,5.5367,1.585,0.0,4.9542,6.6866,1.585,0.0,1.585,0.0,0.0,3.4594,0.0,0.0,5.0444,0.0,0.0,0.0,0.0,3.4594,0.0,1.585,8.18,1.585,5.814,5.1014,1.585,7.3184,1.585,1.585,8.6641,4.9542,0.0,1.585,0.0,0.0,0.0,1.585,0.0,1.585,5.1014,4.4594,6.5032,0.0,4.9542,0.0,6.8495,4.2479,6.6866,0.0,1.585,0.0,0
0.0,0.0,5.4857,0.0,3.3219,0.0,12.6986,4.3219,4.7549,0.0,0.0,6.1803,0.0,2.8074,6.0047,3.3219,2.8074,2.0,7.0901,6.8339,4.9773,4.5546,5.2954,4.5546,0.0,2.0,2.8074,4.9773,0.0,4.5546,0.0,0.0,5.2954,5.1699,0.0,0.0,2.0,2.0,0.0,5.3937,2.0,2.0,9.5797,6.4325,6.0657,2.0,2.8074,2.8074,6.478,0.0,0.0,4.7549,5.3937,2.0,4.5546,2.8074,6.5221,0.0,0.0,7.1191,0.0,0.0,0.0,0.0,0.0,7.1755,0.0,7.7215,3.3219,0.0,2.0,3.3219,9.8719,2.8074,3.8074,3.3219,0.0,4.3219,2.8074,7.3075,0.0,6.1803,3.8074,2.0,3.8074,4.9773,2.8074,0.0,2.8074,5.1699,3.3219,0.0,8.2539,0.0,0.0,4.9773,2.0,0.0,2.0,0.0,5.4857,4.7549,0.0,4.3219,0.0,2.0,2.8074,3.8074,6.9676,5.1699,11.1831,3.3219,2.0,4.5546,2.8074,4.3219,6.2344,5.6539,4.5546,2.0,2.8074,0.0,2.0,4.3219,4.8074,2.8074,5.8048,0.0,2.8074,5.4857,5.5723,2.8074,4.3219,8.4946,4.5546,0.0,3.3219,7.0302,0.0,6.1241,0.0,9.5797,3.3219,0.0,0.0,2.8074,5.4857,2.8074,0.0,3.3219,3.3219,2.0,6.1803,7.6831,5.5723,2.8074,2.0,4.9773,6.5221,3.8074,3.8074,2.0,0.0,0.0,2.0,2.0,2.0,2.8074,2.0,0.0,0.0,0.0,2.0,2.0,2.0,8.1166,3.3219,5.8048,4.5546,2.0,7.9808,4.5546,2.0,4.3219,3.3219,0.0,6.3368,3.3219,0.0,3.8074,4.3219,0.0,3.3219,4.5546,4.5546,6.5221,3.3219,5.4857,0.0,7.6436,5.2954,7.3325,2.8074,0.0,2.8074,0
0.0,0.0,4.7549,0.0,2.0,2.0,12.9639,3.1699,0.0,0.0,0.0,6.2477,0.0,0.0,6.2477,3.1699,0.0,0.0,6.3445,5.847,4.7549,5.2902,4.3219,4.5546,0.0,0.0,3.8074,5.7795,3.1699,4.3219,0.0,0.0,5.3844,4.9773,3.1699,0.0,0.0,2.0,0.0,4.3219,0.0,0.0,9.5807,6.4782,4.7549,2.0,2.0,0.0,6.2968,0.0,0.0,4.5546,5.9734,4.7549,5.2902,3.8074,6.1969,0.0,0.0,7.0365,0.0,0.0,0.0,0.0,0.0,6.9774,0.0,7.2512,2.0,0.0,2.0,3.8074,9.8554,4.5546,3.1699,2.0,2.0,3.1699,0.0,7.4159,0.0,6.6392,5.7087,4.3219,0.0,5.5555,0.0,2.0,4.3219,5.1699,0.0,0.0,8.0811,0.0,2.0,4.5546,3.1699,0.0,2.0,2.0,5.3844,0.0,3.1699,5.4725,0.0,0.0,4.3219,3.1699,6.3904,5.3844,11.1661,4.7549,0.0,4.3219,3.1699,3.8074,6.2968,5.9115,4.3219,4.3219,0.0,0.0,3.1699,4.3219,4.5546,2.0,5.3844,3.1699,0.0,3.8074,3.1699,0.0,4.7549,7.7865,3.8074,0.0,3.1699,6.7493,5.1699,5.9734,0.0,9.5303,3.1699,0.0,3.1699,3.8074,0.0,0.0,2.0,3.8074,0.0,2.0,5.847,6.1969,5.9115,3.1699,0.0,4.9773,6.7493,3.8074,0.0,0.0,0.0,2.0,3.1699,0.0,0.0,0.0,3.8074,0.0,0.0,0.0,0.0,0.0,2.0,8.3018,0.0,3.8074,5.5555,3.1699,6.947,4.5546,3.1699,6.4782,4.7549,0.0,4.9773,0.0,0.0,2.0,2.0,3.1699,3.8074,5.3844,5.3844,7.1478,0.0,3.1699,2.0,7.2512,4.9773,6.6392,3.1699,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,12.9773,4.7549,2.585,2.585,0.0,5.7698,0.0,0.0,6.4707,3.858,0.0,3.3219,6.8579,6.4141,3.858,3.858,3.3219,4.7549,3.3219,0.0,2.585,5.0,0.0,0.0,0.0,0.0,2.585,4.2479,0.0,0.0,0.0,2.585,3.3219,5.4702,2.585,0.0,10.1284,6.5251,5.3544,3.858,3.3219,0.0,6.5777,2.585,0.0,4.2479,5.0,2.585,3.858,4.2479,5.5771,0.0,0.0,6.9799,0.0,2.585,0.0,2.585,0.0,7.578,0.0,8.2137,2.585,0.0,2.585,0.0,9.725,3.858,4.7549,4.2479,0.0,2.585,3.3219,7.2624,3.3219,6.4707,5.0,0.0,2.585,4.7549,0.0,2.585,5.0,6.1625,0.0,0.0,7.9995,0.0,0.0,5.2095,2.585,0.0,0.0,0.0,3.858,4.7549,0.0,2.585,2.585,0.0,4.2479,4.7549,6.6283,0.0,11.1063,3.858,0.0,4.2479,2.585,2.585,6.1625,6.2937,5.7698,2.585,2.585,0.0,4.7549,2.585,2.585,0.0,5.2095,2.585,0.0,2.585,4.2479,0.0,5.0,8.1106,3.3219,2.585,2.585,7.128,4.2479,6.0919,0.0,9.3929,3.3219,0.0,0.0,2.585,0.0,3.3219,2.585,3.3219,2.585,2.585,6.2296,6.7704,5.5771,2.585,0.0,3.858,7.0924,2.585,3.3219,2.585,0.0,0.0,4.7549,0.0,0.0,2.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7014,3.3219,5.3544,3.3219,0.0,7.1968,2.585,0.0,2.585,4.2479,0.0,6.0179,5.5771,0.0,0.0,4.2479,0.0,3.858,5.4702,3.3219,6.5777,0.0,3.3219,2.585,7.7479,3.858,7.0924,2.585,0.0,0.0,0
0.0,0.0,5.0224,0.0,2.0,0.0,12.5815,5.9193,3.4594,3.4594,2.0,5.0224,0.0,2.0,5.8647,0.0,0.0,0.0,6.4893,6.023,3.9069,4.3923,6.4525,2.0,0.0,3.4594,3.9069,5.2095,2.0,3.4594,0.0,0.0,5.6724,5.4594,0.0,2.0,0.0,3.4594,0.0,0.0,0.0,0.0,10.17,6.2104,4.6147,0.0,0.0,0.0,6.3763,0.0,0.0,4.6147,5.9193,0.0,4.3923,4.6147,5.6724,0.0,0.0,6.6917,0.0,0.0,0.0,0.0,0.0,5.9722,2.0,6.8968,4.3923,0.0,5.2095,3.9069,9.2492,3.4594,3.9069,3.4594,0.0,2.0,0.0,5.0224,0.0,6.1198,6.415,3.4594,0.0,5.4594,2.0,0.0,4.8074,4.8074,3.9069,0.0,7.8003,0.0,0.0,6.023,0.0,0.0,2.0,0.0,3.4594,5.8076,2.0,4.6147,0.0,0.0,3.9069,3.4594,6.2538,3.4594,10.9346,5.4594,2.0,2.0,3.4594,2.0,6.8411,3.9069,5.0224,3.4594,3.4594,0.0,6.9237,3.9069,4.0,3.9069,4.6147,4.3923,0.0,4.3923,4.6147,0.0,5.6724,8.8232,2.0,0.0,2.0,6.2104,5.4594,5.0224,2.0,8.4197,2.0,0.0,0.0,2.0,0.0,2.0,0.0,5.4594,0.0,3.4594,7.002,6.415,5.2095,2.0,4.3923,5.0224,6.3366,3.4594,0.0,0.0,0.0,0.0,5.0224,3.9069,0.0,2.0,3.4594,0.0,0.0,2.0,0.0,0.0,0.0,8.1139,2.0,6.1198,5.7485,3.9069,7.437,4.6147,7.192,5.9722,0.0,0.0,4.3923,5.7485,0.0,0.0,4.3923,2.0,4.6147,5.4594,5.0224,5.9722,0.0,4.8074,0.0,6.9504,3.4594,6.7832,0.0,0.0,0.0,0
0.0,0.0,5.0444,3.9069,2.585,0.0,12.513,4.8074,4.3219,0.0,0.0,6.114,0.0,2.585,5.0444,2.585,0.0,2.585,6.1659,6.1659,5.2479,5.2479,6.2645,0.0,0.0,3.9069,0.0,3.9069,2.585,5.2479,2.585,0.0,5.2479,5.4757,3.3219,0.0,3.9069,2.585,0.0,5.8222,3.3219,2.585,9.7793,6.3112,5.0444,2.585,2.585,0.0,6.6026,0.0,0.0,5.2479,5.2479,2.585,4.3219,4.8074,4.3219,2.585,2.585,6.7797,3.3219,0.0,0.0,2.585,0.0,5.8222,2.585,7.7409,3.3219,0.0,6.1659,4.3219,8.9603,2.585,2.585,3.9069,0.0,5.8853,2.585,6.8763,2.585,6.2161,6.2161,3.3219,0.0,5.0444,0.0,0.0,4.8074,6.0603,2.585,0.0,7.6707,2.585,0.0,5.946,0.0,2.585,0.0,2.585,4.3219,3.3219,0.0,4.8074,0.0,2.585,0.0,3.9069,6.0043,3.9069,10.9495,5.0444,2.585,2.585,0.0,3.3219,6.5644,3.3219,5.946,3.9069,0.0,0.0,6.3112,0.0,3.3219,0.0,5.2479,2.585,3.3219,5.4757,3.3219,0.0,5.6724,8.9156,5.0444,0.0,3.3219,6.3567,4.3219,6.0043,0.0,8.1417,4.3219,0.0,2.585,0.0,0.0,2.585,2.585,5.0444,2.585,3.3219,7.1062,7.052,3.9069,4.3219,2.585,5.0444,6.4848,2.585,2.585,0.0,0.0,0.0,3.3219,3.9069,0.0,2.585,5.756,0.0,0.0,0.0,0.0,0.0,0.0,7.9329,3.3219,5.946,5.0444,2.585,7.4159,5.8222,7.578,2.585,4.3219,0.0,5.4757,5.4757,0.0,0.0,3.3219,3.3219,5.2479,4.8074,4.3219,6.0043,3.3219,5.8222,0.0,7.2088,4.3219,6.9071,3.3219,0.0,2.585,0
0.0,0.0,0.0,0.0,0.0,0.0,12.6651,0.0,3.4594,2.585,2.585,5.3923,0.0,3.4594,5.7724,3.4594,0.0,0.0,6.1266,6.247,4.0,5.1898,6.3581,3.4594,0.0,2.585,0.0,3.4594,0.0,4.0,0.0,0.0,5.3923,4.4594,2.585,0.0,0.0,4.4594,0.0,2.585,2.585,0.0,9.5409,5.9953,5.1898,3.4594,0.0,2.585,6.0624,0.0,0.0,4.0,6.0624,0.0,4.4594,5.1898,6.188,0.0,0.0,6.5575,0.0,0.0,0.0,0.0,0.0,6.247,2.585,6.9255,4.4594,0.0,0.0,2.585,9.0136,2.585,4.4594,4.4594,0.0,4.7279,0.0,6.8515,0.0,5.9246,0.0,4.0,0.0,4.4594,2.585,0.0,4.0,4.0,3.4594,0.0,7.7739,0.0,0.0,5.5091,0.0,0.0,3.4594,0.0,4.4594,5.9246,0.0,5.9246,0.0,0.0,2.585,5.1898,5.7724,3.4594,10.8041,4.9542,2.585,3.4594,0.0,2.585,6.188,5.3923,5.1898,0.0,0.0,0.0,5.9953,4.0,0.0,0.0,5.3923,0.0,0.0,5.3923,4.7279,0.0,4.9542,8.523,4.4594,0.0,0.0,6.889,4.0,4.7279,0.0,8.499,4.9542,0.0,2.585,0.0,0.0,4.0,0.0,4.7279,2.585,2.585,7.0631,6.247,0.0,0.0,4.4594,2.585,5.8505,4.7279,4.0,0.0,0.0,2.585,2.585,3.4594,0.0,2.585,3.4594,0.0,0.0,0.0,4.0,0.0,0.0,8.1276,2.585,5.1898,6.0624,3.4594,6.3036,2.585,6.4106,4.4594,4.0,0.0,5.9246,3.4594,0.0,0.0,0.0,2.585,5.5091,5.3923,3.4594,6.0624,0.0,5.7724,0.0,7.0631,5.3923,6.9255,0.0,2.585,0.0,0
0.0,0.0,4.0875,0.0,0.0,0.0,12.825,2.8074,0.0,3.4594,3.4594,4.0875,0.0,2.8074,5.6188,2.8074,0.0,0.0,5.7758,5.983,2.8074,5.2095,5.983,2.8074,2.8074,2.8074,0.0,4.9542,0.0,3.4594,0.0,0.0,4.585,4.585,0.0,3.4594,0.0,0.0,2.8074,4.0875,0.0,2.8074,10.5202,6.7973,5.4263,3.4594,2.8074,0.0,5.8482,0.0,0.0,5.2095,5.9172,0.0,2.8074,3.4594,5.2095,0.0,0.0,6.2199,0.0,2.8074,0.0,0.0,2.8074,5.6188,0.0,7.0018,2.8074,2.8074,3.4594,2.8074,9.0772,0.0,4.585,4.9542,0.0,2.8074,0.0,5.9172,0.0,5.8482,5.6996,4.585,0.0,4.9542,0.0,2.8074,5.2095,2.8074,0.0,0.0,7.5282,0.0,0.0,4.585,0.0,0.0,2.8074,0.0,5.2095,5.4263,3.4594,4.0875,0.0,0.0,3.4594,4.585,5.7758,2.8074,10.892,0.0,0.0,0.0,0.0,2.8074,7.1235,4.585,4.585,4.585,2.8074,0.0,6.4234,2.8074,7.546900000000001,0.0,3.4594,0.0,3.4594,5.6996,3.4594,0.0,5.4263,8.7198,3.4594,0.0,4.0875,6.6831,4.585,5.7758,2.8074,8.5236,2.8074,0.0,0.0,0.0,0.0,0.0,0.0,3.4594,2.8074,4.0875,6.8688,6.9696,2.8074,0.0,2.8074,4.9542,5.6996,4.585,0.0,0.0,0.0,3.4594,4.0875,3.4594,0.0,3.4594,3.4594,0.0,0.0,0.0,2.8074,0.0,0.0,7.7142,2.8074,5.6188,4.9542,5.2095,7.3649,3.4594,6.9696,4.585,2.8074,0.0,4.0875,3.4594,0.0,0.0,0.0,0.0,5.4263,4.585,5.5336,5.5336,2.8074,2.8074,0.0,7.6749,4.9542,6.8335,0.0,0.0,0.0,0
