Index,RAP_ID,Transcript_ID,Description,Position,Gene_Symbol,Gene_Name,GO
1,Os01g0282800,Os01t0282800-02,"β tubulin 1, Control of salt-insensitivity by stabilizing microtubule organization, Regulation of ionic homeostasis under salt stress (Os01t0282800-02)",chr01:10099352..10102948 (- strand),TUB1,BETA-TUBULIN 1,Biological Process: microtubule-based process (GO:0007017)Molecular Function: GTP binding (GO:0005525) GTPase activity (GO:0003924) structural constituent of cytoskeleton (GO:0005200)Cellular Component: microtubule (GO:0005874)
2,Os01g0348800,Os01t0348800-01,Similar to Salt-stress induced protein (Salt protein). (Os01t0348800-01),chr01:13899523..13900729 (- strand),,,
3,Os01g0534900,Os01t0534900-01,"Hyperosmolality-gated calcium-permeable channel 1.1, Mediation of hyperosmolality and salt stress sensing, Hyperosmolality- and salt stress-induced stomatal closure (Os01t0534900-01)",chr01:19394542..19405480 (- strand),OSCA1.1,HYPEROSMOLALITY-GATED CALCIUM-PERMEABLE CHANNEL 1.1,Molecular Function: calcium-activated cation channel activity (GO:0005227)Cellular Component: membrane (GO:0016020)
4,Os03g0150200,Os03t0150200-01,"AP2/ERF transcription factor, Negative regulation of salt stress response, Salt tolerance (Os03t0150200-01)",chr03:2800290..2800922 (+ strand),ERF88,ETHYLENE RESPONSE FACTOR 88,Biological Process: ethylene-activated signaling pathway (GO:0009873) regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
5,Os03g0386000,Os03t0386000-01 ; Os03t0386000-02,"Similar to Salt-responsive WD40 protein 5. (Os03t0386000-01) WD40 subfamily protein, Salt stress (Os03t0386000-02)",chr03:15329520..15334903 (+ strand),SRWD5,SALT RESPONSIVE WD40 PROTEIN 5,Molecular Function: protein binding (GO:0005515)
6,Os04g0123125,Os04t0123125-01 ; Os04t0123125-02,"Jacalin-related lectin (JRL) family protein, Positive regulation of salt tolerance (Os04t0123125-01) Salt stress-induced protein-like (Os04t0123125-02)",chr04:1411107..1412422 (+ strand),JRL7,JACALIN-RELATED LECTIN 7,Molecular Function: carbohydrate binding (GO:0030246)
7,Os04g0620700,Os04t0620700-01 ; Os04t0620700-02,"Nucleolin-like protein, Salt stress response (Os04t0620700-01) Short isoform of nucleolin, Salt-stress tolerance, Photosynthetic enhancement (Os04t0620700-02)",chr04:31544124..31551203 (+ strand),NUC1,NUCLEOLIN 1,Molecular Function: nucleic acid binding (GO:0003676) RNA binding (GO:0003723)
8,Os05g0420300,Os05t0420300-01,"Salt- and H2O2- responsive transcription factor, Salt tolerance (Os05t0420300-01)",chr05:20601261..20601854 (- strand),ERF131,ETHYLENE RESPONSE FACTOR 131,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
9,Os05g0488800,Os05t0488800-01,"Salt-induced RING Finger Protein, Negative regulation of response to salt stress (Os05t0488800-01)",chr05:24023674..24026150 (- strand),,,Molecular Function: ubiquitin protein ligase activity (GO:0061630)
10,Os06g0226050,Os06t0226050-00,Similar to Salt-stress induced protein (Salt protein). (Os06t0226050-00),chr06:6522344..6523338 (+ strand),JRL17,JACALIN-RELATED LECTIN 17,Molecular Function: carbohydrate binding (GO:0030246)
11,Os06g0606000,Os06t0606000-01,"Serine/threonine-protein kinase required for the salt overly sensitive (SOS) pathway, Calcineurin B-like (CBL) protein-interacting protein kinase, Control of intracellular Na+ and K+ homeostasis, Salt tolerance, Mutation in OsSOS2 reduces radiocesium in rice grain (Os06t0606000-01)",chr06:24038959..24044785 (- strand),SOS2,SALT OVERLY SENSITIVE 2,Biological Process: protein phosphorylation (GO:0006468) signal transduction (GO:0007165)Molecular Function: ATP binding (GO:0005524) protein kinase activity (GO:0004672)
12,Os07g0679000,Os07t0679000-01,"Potassium transporter, Regulation of seed germination under salt stress, Salt tolerance during seed germination (Os07t0679000-01)",chr07:28741888..28745900 (- strand),HAK9,HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 9,Biological Process: potassium ion transmembrane transport (GO:0071805)Molecular Function: potassium ion transmembrane transporter activity (GO:0015079)Cellular Component: membrane (GO:0016020)
13,Os08g0540400,Os08t0540400-01,"Calcium-dependent protein kinase, Positive regulation in the ABA and salt stress signaling pathways, Salt tolerance (Os08t0540400-01)",chr08:27055091..27059334 (- strand),CDPK21,CALCIUM-DEPENDENT PROTEIN KINASE 21,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) calcium ion binding (GO:0005509) protein kinase activity (GO:0004672)
